matrix,prop,size,time
IGA,0.5,16,0.00034545284974097544
IGA,0.5,25,0.0007145781707753494
IGA,0.5,36,0.0014247294871777292
IGA,0.5,49,0.002362650413224272
IGA,0.5,64,0.003936715913555694
IGA,0.5,81,0.006355886349205869
IGA,0.5,100,0.009585245454557667
IGA,0.5,121,0.014223706382994132
IGA,0.5,144,0.020165139999967323
IGA,0.5,169,0.027743702739701816
IGA,0.5,196,0.03765285555555743
IGA,0.5,225,0.050314514999968196
IGA,0.5,256,0.07132465862062826
IGA,0.5,289,0.08560362916667448
IGA,0.5,324,0.10834317894741137
IGA,0.5,361,0.13685173333348455
IGA,0.5,400,0.17439810833339683
IGA,0.5,441,0.2132979699999396
IGA,0.5,484,0.25824923750013795
IGA,0.5,529,0.31359982857137375
IGA,0.5,576,0.4128015600000253
IGA,0.25,16,0.00035835923668872633
IGA,0.25,25,0.0008124179528777001
IGA,0.25,36,0.0016100038616178
IGA,0.25,49,0.002925650584794253
IGA,0.25,64,0.005109002551031543
IGA,0.25,81,0.009003743946208887
IGA,0.25,100,0.017157524786340125
IGA,0.25,121,0.022562598876381314
IGA,0.25,144,0.026498471052623006
IGA,0.25,169,0.03500662586209508
IGA,0.25,196,0.048565123809512875
IGA,0.25,225,0.06328514062504098
IGA,0.25,256,0.08917774782608119
IGA,0.25,289,0.10595838421053677
IGA,0.25,324,0.13482207999995807
IGA,0.25,361,0.17035169166672404
IGA,0.25,400,0.21304684999995516
IGA,0.25,441,0.2615142374999664
IGA,0.25,484,0.3147601571429602
IGA,0.25,529,0.3833996500000012
IGA,0.25,576,0.5102329500001588
IGA,0.125,16,0.0003776377194627592
IGA,0.125,25,0.00085276560101515
IGA,0.125,36,0.0016997545454501147
IGA,0.125,49,0.0030701352760657765
IGA,0.125,64,0.005231307310710054
IGA,0.125,81,0.008393230962336696
IGA,0.125,100,0.012719292405082815
IGA,0.125,121,0.018555841666659068
IGA,0.125,144,0.026191080519470528
IGA,0.125,169,0.03622662857143918
IGA,0.125,196,0.05839408285714204
IGA,0.125,225,0.0744294592592875
IGA,0.125,256,0.09269267272727368
IGA,0.125,289,0.11803475294121146
IGA,0.125,324,0.14340137857146015
IGA,0.125,361,0.17851760833324684
IGA,0.125,400,0.22300083333336967
IGA,0.125,441,0.2729813999999351
IGA,0.125,484,0.3306789571428713
